date,schedtime,deptime,carrier,origin,dest,distance,flightnumber,dayweek,daymonth,tailnumber,weather
2004-01-05,700,656,MQ,DCA,LGA,214,4952,1,5,N712MQ,good
2004-01-05,800,758,MQ,DCA,LGA,214,4954,1,5,N724MQ,good
2004-01-05,900,859,MQ,DCA,LGA,214,4956,1,5,N719MQ,good
2004-01-05,1100,1103,MQ,DCA,LGA,214,4960,1,5,N706MQ,good
2004-01-05,1300,1250,MQ,DCA,LGA,214,4964,1,5,N716MQ,good
2004-01-05,1600,1627,MQ,DCA,LGA,214,4970,1,5,N700MQ,good
2004-01-05,1700,1702,MQ,DCA,LGA,214,4972,1,5,N724MQ,good
2004-01-05,1900,1949,MQ,DCA,LGA,214,4976,1,5,N846MQ,good
2004-01-05,850,848,UA,IAD,LGA,229,846,1,5,N516UA,good
2004-01-05,630,627,US,DCA,LGA,214,1479,1,5,N765UW,good
2004-01-05,700,657,US,DCA,LGA,214,2160,1,5,N762UW,good
2004-01-05,800,757,US,DCA,LGA,214,2162,1,5,N750UW,good
2004-01-05,900,900,US,DCA,LGA,214,2164,1,5,N733UW,good
2004-01-05,1000,958,US,DCA,LGA,214,2166,1,5,N767UW,good
2004-01-05,1100,1057,US,DCA,LGA,214,2168,1,5,N762UW,good
2004-01-05,1200,1155,US,DCA,LGA,214,2170,1,5,N750UW,good
2004-01-05,1300,1257,US,DCA,LGA,214,2172,1,5,N733UW,good
2004-01-05,1400,1358,US,DCA,LGA,214,2174,1,5,N767UW,good
2004-01-05,1500,1500,US,DCA,LGA,214,2176,1,5,N762UW,good
2004-01-05,1600,1601,US,DCA,LGA,214,2178,1,5,N750UW,good
2004-01-05,1700,1657,US,DCA,LGA,214,2180,1,5,N733UW,good
2004-01-05,1800,1757,US,DCA,LGA,214,2182,1,5,N767UW,good
2004-01-05,1900,1857,US,DCA,LGA,214,2184,1,5,N762UW,good
2004-01-05,2000,1959,US,DCA,LGA,214,2186,1,5,N750UW,good
2004-01-05,2100,2100,US,DCA,LGA,214,2188,1,5,N733UW,good
2004-01-05,700,744,RU,BWI,EWR,169,2703,1,5,N14923,good
2004-01-05,1455,1527,RU,BWI,EWR,169,2403,1,5,N12946,good
2004-01-05,1030,1221,RU,BWI,EWR,169,2303,1,5,N16951,good
2004-01-05,1300,1324,CO,DCA,EWR,199,808,1,5,N14628,good
2004-01-05,759,757,CO,DCA,EWR,199,806,1,5,N14654,good
2004-01-05,1730,1846,CO,DCA,EWR,199,814,1,5,N14341,good
2004-01-05,840,844,DH,IAD,EWR,213,7299,1,5,N622BR,good
2004-01-05,1710,1920,DH,IAD,EWR,213,7302,1,5,N697BR,good
2004-01-05,1245,1357,DH,IAD,EWR,213,7303,1,5,N664BR,good
2004-01-05,2120,2312,DH,IAD,EWR,213,7304,1,5,N667BR,good
2004-01-05,1430,1536,DH,IAD,EWR,213,7307,1,5,N320UE,good
2004-01-05,630,624,DH,IAD,EWR,213,7371,1,5,N330UE,good
2004-01-05,700,700,RU,DCA,EWR,199,2761,1,5,N18556,good
2004-01-05,900,1056,RU,DCA,EWR,199,2582,1,5,N14952,good
2004-01-05,1300,1321,RU,IAD,EWR,213,2692,1,5,N16511,good
2004-01-05,2100,2105,RU,DCA,EWR,199,2879,1,5,N12126,good
2004-01-05,700,655,RU,IAD,EWR,213,2855,1,5,N14570,good
2004-01-05,1400,1454,RU,DCA,EWR,199,2216,1,5,N13979,good
2004-01-05,1900,2104,RU,DCA,EWR,199,2336,1,5,N14940,good
2004-01-05,1515,1602,RU,IAD,EWR,213,2156,1,5,N27152,good
2004-01-05,900,855,RU,IAD,EWR,213,3276,1,5,N14991,good
2004-01-05,1525,1617,RU,DCA,EWR,199,2261,1,5,N15948,good
2004-01-06,1455,1455,OH,BWI,JFK,184,5935,2,6,N805CA,good
2004-01-06,1245,1240,DH,IAD,LGA,229,7208,2,6,N307UE,good
2004-01-06,1455,1451,DH,IAD,LGA,229,7211,2,6,N676BR,good
2004-01-06,1715,1752,DH,IAD,LGA,229,7215,2,6,N662BR,good
2004-01-06,640,635,DH,IAD,LGA,229,7790,2,6,N676BR,good
2004-01-06,1039,1034,DH,IAD,LGA,229,7792,2,6,N676BR,good
2004-01-06,840,855,DH,IAD,JFK,228,7800,2,6,N674BR,good
2004-01-06,1240,1237,DH,IAD,JFK,228,7806,2,6,N316UE,good
2004-01-06,1455,1453,DH,IAD,JFK,228,7808,2,6,N315UE,good
2004-01-06,1645,1641,DH,IAD,JFK,228,7810,2,6,N308UE,good
2004-01-06,1715,1756,DH,IAD,JFK,228,7812,2,6,N333UE,good
2004-01-06,2120,2153,DH,IAD,JFK,228,7814,2,6,N694BR,good
2004-01-06,1610,1607,DH,IAD,JFK,228,7816,2,6,N332UE,good
2004-01-06,2120,2118,DH,IAD,LGA,229,7924,2,6,N674BR,good
2004-01-06,1455,1457,DL,DCA,JFK,213,746,2,6,N949DL,good
2004-01-06,630,629,DL,DCA,LGA,214,1740,2,6,N223DZ,good
2004-01-06,730,728,DL,DCA,LGA,214,1742,2,6,N225DL,good
2004-01-06,830,829,DL,DCA,LGA,214,1744,2,6,N242DL,good
2004-01-06,930,930,DL,DCA,LGA,214,1746,2,6,N241DL,good
2004-01-06,1030,1030,DL,DCA,LGA,214,1748,2,6,N223DZ,good
2004-01-06,1130,1130,DL,DCA,LGA,214,1750,2,6,N225DL,good
2004-01-06,1230,1230,DL,DCA,LGA,214,1752,2,6,N242DL,good
2004-01-06,1330,1327,DL,DCA,LGA,214,1754,2,6,N241DL,good
2004-01-06,1430,1428,DL,DCA,LGA,214,1756,2,6,N223DZ,good
2004-01-06,1530,1529,DL,DCA,LGA,214,1758,2,6,N225DL,good
2004-01-06,1630,1629,DL,DCA,LGA,214,1760,2,6,N242DL,good
2004-01-06,1730,1728,DL,DCA,LGA,214,1762,2,6,N241DL,good
2004-01-06,1830,1830,DL,DCA,LGA,214,1764,2,6,N223DZ,good
2004-01-06,1930,1929,DL,DCA,LGA,214,1766,2,6,N225DL,good
2004-01-06,2030,2031,DL,DCA,LGA,214,1768,2,6,N242DL,good
2004-01-06,1530,1548,MQ,DCA,JFK,213,4752,2,6,N838MQ,good
2004-01-06,600,558,MQ,DCA,JFK,213,4760,2,6,N739MQ,good
2004-01-06,1830,1843,MQ,DCA,JFK,213,4784,2,6,N704MQ,good
2004-01-06,700,655,MQ,DCA,LGA,214,4952,2,6,N707MQ,good
2004-01-06,800,817,MQ,DCA,LGA,214,4954,2,6,N614MQ,good
2004-01-06,900,852,MQ,DCA,LGA,214,4956,2,6,N724MQ,good
2004-01-06,1100,1100,MQ,DCA,LGA,214,4960,2,6,N707MQ,good
2004-01-06,1300,1313,MQ,DCA,LGA,214,4964,2,6,N614MQ,good
2004-01-06,1400,1355,MQ,DCA,LGA,214,4966,2,6,N846MQ,good
2004-01-06,1500,1535,MQ,DCA,LGA,214,4968,2,6,N704MQ,good
2004-01-06,1600,1555,MQ,DCA,LGA,214,4970,2,6,N710MQ,good
2004-01-06,1700,1654,MQ,DCA,LGA,214,4972,2,6,N734MQ,good
2004-01-06,1900,1904,MQ,DCA,LGA,214,4976,2,6,N715MQ,good
2004-01-06,850,850,UA,IAD,LGA,229,846,2,6,N501UA,good
2004-01-06,630,629,US,DCA,LGA,214,1479,2,6,N764UW,good
2004-01-06,700,657,US,DCA,LGA,214,2160,2,6,N721UW,good
2004-01-06,800,758,US,DCA,LGA,214,2162,2,6,N719UW,good
2004-01-06,900,858,US,DCA,LGA,214,2164,2,6,N733UW,good
