"restaurant","rating","date","review","author"
"Arriba Arriba Sunnyside",2,"2014-01-25","Blechhh. I have been here a few times with coworkers for Friday lunch. I'm a newer member of the department, so I usually just go along blindly where they tell me we're going. Honestly, I'd never actively choose to go here. I have tried a few things here, and nothing is really that good. Just typical Mexican-ish fast food. You get a free watered down cocktail with lunch, but I usually stick to Diet Coke since it's the middle of a work day. A few Fridays ago, we had a negative experience. When we asked to split the checks up 6 ways, which we've done several times, the waitress was whiny and complained. We were the only table in the place, we had done it before no problem, and we were semi-regulars at that point. Be cool. She finally relented, and as she was walking away, one coworker complained sarcastically (but not quietly enough), 'there goes her tip.' That one snide comment was enough for them to elect to tack on mandatory, unadvertised, one-time, 30% gratuity. Now I understand 18% gratuity for large parties, as long as it's on the menu upfront. This makes sense, especially for a busy booming restaurant. But we had NEVER been charged mandatory large party gratuity before, we weren't told about it upfront, and the place was empty. So nice job, you got your $2 out of me that day (that you would have gotten anyway), but you lost a set of large party regular customers.","Meghan A."
"Arriba Arriba Sunnyside",4,"2015-06-21","Our waitress was very attentive, female bartender a bust. Like a simple margarita she couldn't make. And shrugs each time we sent back. Mgr was awesome!","Dat S."
"Arriba Arriba Sunnyside",4,"2014-05-20","I like garlic shrimp! But, it's not something I typically order when dining out. I've been met, time and time again, with lackluster versions of a simple, albeit difficult to perfect dish. Too much garlic, not enough garlic, burnt butter, miniscule or overcooked shrimp: there always seemed to be something off about my meal when I order this popular special. Arriba Arriba executed it perfectly. Every aspect of my meal, from taste to plating was wonderful. I've also been able to sample their elote (AMAZING!), nachos, shrimp fajitas and enchiladas and a variety of their margaritas. I've yet to be disappointed! Service itself is a little shaky. Wait staff is very kind and courteous, but a little bit scatterbrained at times. Overall, not a big deal and certainly not enough to keep me away from their tasty food and strong drinks.","Camille M."
"Arriba Arriba Sunnyside",3,"2015-09-16","I LOVE the food here!! I had the grilled chicken or steak that comes with rice & beans, pico de gallo & guacamole DELISHH!. My man usually gets their burritos which are super delicious as well! .. Is give it a 5 star rating but the only reason it looses 2 stars is cause the service is kind of slow. Food takes a long time. And the first time we went there my man asked for a fresh lemonade which they made for him. The next 2 times we went they said they 'don't make fresh lemonade' which makes absolutely no sense ! Don't lie to your customers!","Danelly R."
"Arriba Arriba Sunnyside",4,"2015-09-27","Sunday Brunch birthday party was a great hit. We had a group of 18 people and  I usually worry when we have so many people but the attention was incredible. Our waiters were on point! We had 18 people in our group. The food, service, space, drinks, etc was amazing. Our group was a big fan of the amount of food given and tasty drinks.  I stopped by here a couple of weeks ago for a farewell get together and was impressed how it was on a friday night. The DJ had people dancing up a storm and the ambiance was fun Everyone had a great time and we will definitely return","Gina C."
"Arriba Arriba Sunnyside",1,"2015-08-15","Terrible service. Someone in our party ordered fish tacos. Fish ceviche arrived. The waitress insisted it was our mistake, not hers, and proceeded to launch into the most combative, confrontational exchange we had ever seen in a restaurant.","Angus R."
"Arriba Arriba Sunnyside",4,"2015-08-16","our waitress was top notch. veronika was the sweetest most attentive server ive met. she made sure we had all our condiments, water and drinks refilled and didnt rush us out. food came out fast, hot, and delicious. sizzling steak fajitas were great and so were the tacos al pastor. chips n dip included. nice place to ppl watch altho the music that night didnt go with the theme. its more of a sports bar with mexican food and busty waitresses. no complaints. oh wait... needs a bigger drink selection. also, pass on the caipirinhas.","Ms G."
"Arriba Arriba Sunnyside",1,"2013-11-03","My first experience turned into my last experience here. Once I ordered a vegetarian omelet, I found a PUBIC hair in my food. I voiced my concerns to the waitress. She told the managers and they gave us a 15% discount. They should have comped me for the meal.  The waiters looked confused and didn't know what to do about the issue.  Disgusting.  Who does that???     I question their sanitary standards.","Jada C."
"Arriba Arriba Sunnyside",4,"2015-01-29","I was pretty damn surprised with this place. My dad and I came on a Tuesday night so the place was empty. And I was impressed by the freshness and quality of the food! Service was pretty good all around and we were very satisfied with the meal. I rate it a 4 star because while it was empty they had the music blaring extremely loud and we were the only ones there. It made it a bit annoying and uncomfortable to talk and eat. I get that this place is a bit of a dive bar, but when its empty and no ones around, I think they can afford to be milder with the volume especially at 5:30 pm.","S. P."
"Arriba Arriba Sunnyside",1,"2015-08-17","Pros:  Reasonably fast delivery Portions are very generous Cons: Where do I start?  The food was gross. We ordered some steak nachos. They were awful. It was a giant, mushy pile of soggy crap. Barely any steak, and way too many beans, making it soggy as hell. They put some sort of shredded greens on top that were mushy and awful. We also ordered some tacos. These were not as bad as the nachos, but there was so much cilantro that it was overpowering, it was all you could taste. We should have had plenty of leftovers but the food was so bad that we just threw the leftovers away. Maybe it's better if you go there to eat instead of ordering delivery, maybe it's fresher and it probably tastes better if you have had a few margaritas already. Very pricy for the quality of food.","Kelly B."
"Arriba Arriba Sunnyside",5,"2015-11-19","My favorite Sunnyside spot.  Sasha is my favorite bartender, he has a great personality.  His specialty are the Viviana's; order one and you'll love it.","Viviana C."
"Arriba Arriba Sunnyside",1,"2015-08-17","I was here over the weekend with a group of friends for dinner. The waitress brought out the food and had mixed up my friend's order for a different entree. He pointed out that she had served something he didn't order, but instead of apologizing and bringing out the correct item, she yelled at him (and then the whole table when we defended him), showed us where on her order pad she wrote down the wrong order, and dramatically screamed she would have to pay for his entree out of her own pocket if he didn't eat what she brought him. Really terrible customer service. Too bad I won't be going back, as the location is convenient and close to home.","Alex K."
"Arriba Arriba Sunnyside",3,"2015-08-14","I came here for lunch during work. I went for the lunch special which included selected entrees to be included and drinks, either sangria, margarita or a soda. Once you sit down, they bring you nachos and salsa. When it came down to ordering, I got the quesadilla and the mango margarita. They charged extra for the mango flavoring but the drink was super strong. The waiter was flirting with me the whole time which was a little uncomfortable since I was just starving. The food took forever to come which was upsetting but when the quesadilla came, it was very small. It was more of a appetizer size. It wasn't all that but they're getting 3 stars for their strong drinks.","Jailene C."
"Arriba Arriba Sunnyside",3,"2014-11-10","I was hesitant to come here with some of the recent bad reviews but I wanted to make the decision for myself. My husband and I came here on a Saturday night around 6pm and besides a couple at the bar, we were the only ones in the restaurant. That always makes me a bit nervous. Our waitress was friendly and we were brought chips and salsa. We ordered a margarita each ($10 each) and an order of guacamole to start ($10). The guacamole was cold, which made me question if it was freshly made or if the avocados had just be in the fridge. It wasn't the best guac ever, but it was good. I also thought the portion size was appropriate for what we paid. The drinks were brought over in quite large glasses but they were very, very weak. I question whether or not there was any alcohol in them to be honest. For $10, this was a big disappointment.  I ordered the three tacos and my husband ordered a carnitas platter. The taco presentation was unique and the tacos looked like they were filled very well, not skimpy. The chorizo is some of the best I have ever had. The grilled chicken was average and the carnitas was pretty good.  We were given a re-fill on our chips, which is a perk I feel a lot of mexican restaurants are doing away with these days. I thought the service was great, but our bill came to $66 with tip, which is a lot for a restaurant in Queens that serves very weak drinks. We will probably be back eventually but we won't be ordering margaritas there.","Katie L."
"Arriba Arriba Sunnyside",5,"2015-08-15","Had the tacos with ground beef, guacamole, and the taco salad with steak. All were delicious. Ordered the white sangria which we loved! The waitress was really attentive and personable. Sat at the tall table by the street which was really enjoyable as it was beautiful weather. Really recommend this restaurant!","Laura E."
"Arriba Arriba Sunnyside",4,"2015-08-30","Lovely restaurant. Came here with my fiancé and the food was great. I had the three tacos with steak & it was just sooooo good especially with the rice and beans. The drink we had was the frozen margarita and it refreshing. Like the layout, the staff were friendly. Definitely recommend to anyone.","Vanessa C."
"Arriba Arriba Sunnyside",1,"2014-07-24","RIPOFF! !! Heard about the 'insane' happy hour, thought I'd check it out. Had a pre-mix margarita, didn't  taste any alcohol, asked for a second, same as the first. So I get my check for $20 (plus tax) and I asked about happy hour and was told yes, the first drink is free, but the second one is $20 !!! What sort of happy hour is that? Two watery drinks for $20!! Never going back, and neither should you!!","Rob K."
"Arriba Arriba Sunnyside",5,"2016-03-24","LOVED this place, the food was so good, the service was great and fun. the vibe was great as well, everyone was interacting with eachother. the main thing that drawed me in was the music.","Natalie N."
"Arriba Arriba Sunnyside",2,"2014-04-29","What happened to this place? Did management change? I've happily been coming here for years, but recently ate here for weekday lunch & a month later on a Saturday night & service was AWFUL. Lunch was very slow, but I thought it was just a fluke. Nope that's just how this place is operating now. Food for 4 without apps or special drink orders took 1 1/2 hours for the dinner. On top of that it came out cold! No one apologized for the wait or for it being cold and they did not offer to rectify the situation, as if they are just mindless drones taking orders. Will be looking for a new go-to Mexican place from now on.","Robin H."
"Arriba Arriba Sunnyside",4,"2014-10-25","I liked the food a lot! The elote is great I usually get delivery from them, so I always ask for the elote and tortilla soup which I recomend 100% , however I decided to eat in today, the service wasn't very attentive and it took way too long to get our food. I guess I'll just keep getting deliveries from them.","Romy H."
"Arriba Arriba Sunnyside",4,"2014-06-23","Last week during that really hot day, my coworkers luckily got out of work early and I had a craving for margaritas! My coworker who lives close by this place recommended that we go. After that 1/2 hour walk in the heat down queens blvd, we got here and it was soo HOT inside. They closed the door and turned the A.C. on and we ordered some frozen mango margaritas! $6 each and one free with our entree from the lunch specials menu. The drinks were GREAT. Nice and strong and it actually tasted like mango. I ordered a burrito and it was pretty good. Everyone else enjoyed their food. I had about 3 drinks. Those things sneak up on you. During the time we were here we got to see some of a soccer game. They also had some 'world cup' themed drinks, didnt try any though. For those looking for a decent spot in Sunnyside/LIC to watch the games i would take a trip here Our waiter could've been a bit more attentive, but I would go back.","Allysa P."
"Arriba Arriba Sunnyside",3,"2015-08-14","So came here for happy hr  with my friend and the lady say do u want nachos and we say yes because we be came here a thousand times the minute u come in they give u free nachos. So then she comes with this order of guac and nachos that we have to pay for when we didn't order that. So be careful but other than that the drinks are awesome frozen margaritas for $6 happy hr til 7!","Jessica D."
"Arriba Arriba Sunnyside",5,"2015-04-26","Friendly and quick customer service.  Waitresses were super sweet and accommodating. Food came out quickly and chips & salsa were served while waiting. Happy Hour is everyday 4 to 7. I got chicken quesadia.","Kinga S."
"Arriba Arriba Sunnyside",4,"2014-06-18","Great atmosphere and good for groups. The waitstaff is very helpful and they have ridiculous happy hour specials (both for food and for drink). Entree portions are quiet large, but their appetizer portions are a bit disappointing.","Gordon C."
"Arriba Arriba Sunnyside",4,"2015-06-03","I first cam here with my mom and was surprised how delicious all the food was, we had a pitcher of Sangria which was also fabulous. It is hands down a new fav in queens, the have a wide variety of dishes and drinks.","Jacqueline H."
"Arriba Arriba Sunnyside",4,"2014-09-16","An awesome place to go,great food,drinks and ambiance!! Is you're looking for fun go during weekend nights!! Live DJ music","Nordalia P."
"Arriba Arriba Sunnyside",4,"2012-09-17","Bulldog Margaritas + amazing burritos = a very happy me!! In case you're not sure what a bulldog margarita is, let me explain:  a very large frozen margarita with sangria, two shots and an upside down corona.  It's $23 a pop, but you will only need one!!  If you're not up for a bulldog you can get a scaled down version of it which is also a generous amount of frozen margarita, sangria and an upside down corona for $18.  And if you just want to go easy and get a regular margarita they're $5 a pop during happy hour!  They offer a wide array of Mexican dishes that are all delicious and generous in size! Our table ordered mussels, tacos, burritos and ceviche and there was not one complaint, actually all plates were wiped clean!!  The will also serve you some chips and salsa after being seated.  We ordered two bulldog margaritas, two scaled down bulldogs and a regular margarita, plus all the food, for four people and the check came out to $150.  NOT BAD!   The staff is very attentive, there is music (but no dancing at the time we went) and tv's behind the bar.  I would definitely have rated this place 5 stars if the environment were a bit more up beat.  It was pretty dead for it being after 6pm.  Maybe other evenings are a bit more lively but it definitely was not when we went.  However, I will most definitely return!","Jessie L."
"Arriba Arriba Sunnyside",1,"2013-12-21","Never order for delivery!! This rest is awful for deliveries. You'll wait more then an hour even you're close to live to the rest. Plus the waiters/waitresses are rude enough and don't say even sorry. So I am totally done with this restaurant.","Merve K."
"Arriba Arriba Sunnyside",4,"2013-03-24","I been here many times and have been meaning to review them. I love this place it's very cozy and intimate. I love their chicken tortilla soup it tastes like someone's grandmother made it, I always order the chicken enchiladas verdes which are really really good. As far as drinks I love their coconut margaritas. They have good Happy Hour specials and Monday-Wednesday (all day) they have a great special $15 which includes an appetizer, entree and 1 drink Just know that you have to ask about specials since they won't tell you so read the sign outside before coming in,","Isabel J."
"Arriba Arriba Sunnyside",1,"2015-01-02","Stay away. Horrible service. food was mediocre at best. Nothing memorable. Charging me 20% tip when it was only 5 of us.","Eliana G."
"Arriba Arriba Sunnyside",1,"2015-05-05","These racist people will never see a dime from me. Waited over an hour for a table which they kindly gave away to at least 4 people who walked in after us. Never ever ever coming back to this piece of shit hole.","Nancy N."
"Arriba Arriba Sunnyside",4,"2014-03-08","Solid Mexican food; great guacamole, margaritas, and burritos and chimichangas are good.","Garner S."
"Arriba Arriba Sunnyside",4,"2014-03-13","Mexican restaurant in the heart of Sunnyside.  Great happy hour menu so don't forget to take a look.  For about $14 you get an appetizer, an entrée & a drink. Portions are a good size. Everything is good. I love the tortilla soup, wings, lomo saltado, nachos & coconut margarita. Everything is seasoned very well. I love coming here. Very romantic place if you are on a date.","Tania C."
"Arriba Arriba Sunnyside",4,"2014-02-15","This place is very nice. The food was authentic Mexican, i loved it. Although the drinks are a bit pricey, the food is very good. The nachos & tacos are delicious here. Good food + good ambience = happy customer","Daniela G."
"Arriba Arriba Sunnyside",3,"2014-05-28","Not the best Mexican food you'll find but it's pretty decent. I wish the place was slightly bigger and maybe a little brighter. I'm not a fan of eating in the dark but I guess it's suppose to be a date night kind of place. Their salsa is pretty good as well as their drinks.   Can't go wrong with the prices.","Sarah H."
"Arriba Arriba Sunnyside",2,"2013-11-16","I am done coming here!  I love their food but that's it! I will order for take out. ...The chef is great but the establishment has these hidden charges that no one explains until the bill comes....they charge extra if you want flavors added to the margarita specials....what?? The waitress offered the flavors from the specials menu and at the end of the night says 'let me explain...The flavors are an additional 2-3 dollars more each drink'  I am done with ordering from here.","Diana F."
"Arriba Arriba Sunnyside",5,"2015-02-14","Great place to go after work for drinks and good food! The enchiladas were some of the best i have had in queens. Their drinks are also pretty strong and pretty big.","Nitasha S."
